sector,tech_scenario,n_facilities,capex_mean,capex_median,capex_q1,capex_q3,capex_sd,capex_min,capex_max
Chemicals,Baseline,508,5.224545947887191,1.9618199372634524,0.4793992845681736,7.144241684696456,13.397110952341801,0.06388018375255806,250.0614961992922
Chemicals,E-boiler,506,7.2598108333669416,4.380264708604787,2.2355797207603927,8.593914902526382,13.673986412875927,0.31254643870202636,238.562298588523
Chemicals,"E-boiler
(EE+)",506,12.424976699982265,8.43741298825812,4.556557176362903,14.592789976526117,19.36775215806098,0.43933974336897674,297.4195102204992
Chemicals,"Air-Source
HTHP",506,64.80999977072175,51.05156317201681,34.295353674661605,74.3685170337098,68.01638928372172,7.752983194715364,1021.8134138306369
Chemicals,"Air-Source
HTHP (EE+)",506,63.735713008025975,49.60741536364054,33.2621306079903,73.35644142839796,69.23085016524085,7.244529476380318,1019.2544328304649
Food & Beverage,Baseline,662,3.3075599985361315,0.9796729664343455,0.2537513206255621,3.8603644141519706,8.455987606337736,7.528197930279323e-4,146.2378417608663
Food & Beverage,E-boiler,660,3.8179409874704464,2.5973135127081663,1.159758964549473,4.777942563790949,4.686681276454044,0.003683319794549819,39.66568491727624
Food & Beverage,"E-boiler
(EE+)",660,6.449358625589191,3.736218801919755,1.8613200757333517,6.967100454988756,9.546028399792348,0.003960244130266924,80.02456167100208
Food & Beverage,"Air-Source
HTHP",660,41.88474158945946,34.022312521809866,22.986731016118455,49.39522263508622,32.87598786016667,0.2420540118572356,272.2730113434187
Food & Beverage,"Air-Source
HTHP (EE+)",660,41.79507769921079,33.338301288509285,22.81891614298887,49.204103590407215,33.95991452537074,0.2303966309410943,283.41262279911285
Pulp & Paper,Baseline,402,7.230447732295467,1.5479620576283966,0.4713012549178607,7.436081770499337,21.93696878278005,0.020395940380379007,307.98129106054296
Pulp & Paper,E-boiler,402,6.492525696672263,3.816998203862841,1.8456400706581784,8.296551341272188,6.949519101535233,0.09979117396654393,48.05123014662467
Pulp & Paper,"E-boiler
(EE+)",402,17.63342465861874,13.958472783989922,7.28510215848569,24.79354832862525,14.061258781198509,0.4373071243271137,93.9168854101692
Pulp & Paper,"Air-Source
HTHP",402,67.03127146649423,52.35724843935287,28.133064395018934,89.7640553353885,51.513193326788446,3.0208585135228123,284.2404073672023
Pulp & Paper,"Air-Source
HTHP (EE+)",402,70.30450398055457,55.19768541368795,30.545389374112908,97.22158633522365,53.17235102594334,3.6401956183227058,292.4500986815313
